review_id,review_content,rating,has_image_or_video,user_id,user_tier,review_timestamp,product_id,product_name,product_category,order_price
R001,鞋子质量很好穿着很舒服透气性也不错,5,False,U001,Plus会员,2024-01-15,P001,运动跑鞋,运动鞋,299
R002,穿了一周鞋底就开胶了质量太差了,1,True,U002,普通会员,2024-01-16,P001,运动跑鞋,运动鞋,299
R003,快递太慢了等了5天才到包装也有破损,2,False,U003,新用户,2024-01-17,P002,休闲板鞋,休闲鞋,199
R004,质量不错穿着舒服但价格有点贵性价比不高,4,False,U004,Plus会员,2024-01-18,P003,篮球鞋,运动鞋,599
R005,好,5,False,U005,普通会员,2024-01-19,P001,运动跑鞋,运动鞋,299
R006,客服态度特别差问什么都不回浪费我时间,1,False,U006,Plus会员,2024-01-20,P002,休闲板鞋,休闲鞋,199
R007,颜色很正跟图片一样很喜欢会回购的,5,True,U007,新用户,2024-01-21,P003,篮球鞋,运动鞋,599
R008,尺码偏小建议买大一码平时穿38这个要39,3,False,U008,普通会员,2024-01-22,P001,运动跑鞋,运动鞋,299
R009,真是买了个祖宗回来穿了两次鞋面就破了,1,True,U009,Plus会员,2024-01-23,P002,休闲板鞋,休闲鞋,199
R010,物流很快包裹完好鞋子也很满意,5,False,U010,普通会员,2024-01-24,P003,篮球鞋,运动鞋,599
R011,鞋底太硬了走路脚疼不适合长时间穿,2,True,U011,Plus会员,2024-01-25,P001,运动跑鞋,运动鞋,299
R012,价格降得太快了买完三天就降价了50块,2,False,U012,新用户,2024-01-26,P003,篮球鞋,运动鞋,599
R013,默认好评,5,False,U013,普通会员,2024-01-27,P001,运动跑鞋,运动鞋,299
R014,客服回复很快帮我解决了换货问题非常满意,5,False,U014,Plus会员,2024-01-28,P002,休闲板鞋,休闲鞋,199
R015,鞋子有刺鼻的气味晾了两天还有味道,2,False,U015,新用户,2024-01-29,P001,运动跑鞋,运动鞋,299
R016,质量没问题就是发货太慢了催了三次才发,3,False,U016,Plus会员,2024-01-30,P003,篮球鞋,运动鞋,599
R017,款式好看穿着也舒服性价比很高推荐购买,5,True,U017,普通会员,2024-01-31,P002,休闲板鞋,休闲鞋,199
R018,有点失望鞋子的颜色跟图片差太多了,2,True,U018,新用户,2024-02-01,P003,篮球鞋,运动鞋,599
R019,好評好評好評,5,False,U019,普通会员,2024-02-02,P001,运动跑鞋,运动鞋,299
R020,穿了半个月鞋后跟磨破了质量堪忧,1,True,U020,Plus会员,2024-02-03,P001,运动跑鞋,运动鞋,299
R021,包装很用心每个鞋子都有独立袋子好评,5,False,U021,新用户,2024-02-04,P002,休闲板鞋,休闲鞋,199
R022,物流暴力运输鞋盒都压扁了还好鞋子没事,3,True,U022,普通会员,2024-02-05,P003,篮球鞋,运动鞋,599
R023,退换货流程太麻烦了客服一直推脱不处理,1,False,U023,Plus会员,2024-02-06,P001,运动跑鞋,运动鞋,299
R024,性价比不错这个价格买到这个质量算值了,4,False,U024,新用户,2024-02-07,P002,休闲板鞋,休闲鞋,199
R025,鞋子掉色把袜子都染红了太垃圾了,1,True,U025,Plus会员,2024-02-08,P001,运动跑鞋,运动鞋,299
