review_id,user_id,product_id,review_text,rating,timestamp,data_type
REV00001,USR4589,PROD954,刷积分刷积分刷积分. ~,4,2023-01-15 20:13:00,Noise
REV00002,USR8710,PROD110,内衬超级破了一个洞。,5,2023-04-13 06:25:00,Normal
REV00003,USR1668,PROD114,裙子稍微做工精细！,5,2023-04-27 15:44:00,Normal
REV00004,USR9234,PROD269,内衬挺偏大，也就值这个价了。,5,2023-11-08 02:07:00,Normal
REV00005,USR3699,PROD346,上脚效果极其很好，直接退货了。,2,2023-01-28 16:06:00,Normal
REV00006,USR4313,PROD155,内衬超级很软，建议大家购买。,4,2023-10-11 14:31:00,Normal
REV00007,USR5985,PROD679,包裹有点被压扁了，但是衣服质量很好，退换货很麻烦，勉强给个好评。  ,5,2023-07-03 14:47:00,Multi-dimensional
REV00008,USR8210,PROD328,刷积分刷积分刷积分刷积分刷积分 ,4,2023-01-07 11:34:00,Noise
REV00009,USR2456,PROD133,包包有线头！,2,2023-03-29 06:07:00,Normal
REV00010,USR4258,PROD411,物流很快，不过掉色严重，问尺寸也推荐得很准，总体来说推荐。,2,2023-10-08 17:56:00,Multi-dimensional
REV00011,USR4088,PROD797,物流很快，但是衣服质量很好，问尺寸也推荐得很准，勉强给个好评。 ,1,2023-08-20 16:01:00,Multi-dimensional
REV00012,USR3132,PROD474,boSniZrbe~,5,2023-10-01 04:08:00,Noise
REV00013,USR1552,PROD939,隔天就到了，而且面料很舒服，客服根本不理人，随便穿穿吧。 ,3,2023-01-14 02:23:00,Multi-dimensional
REV00014,USR8445,PROD258,包装极其很软，买亏了。,4,2023-06-28 09:19:00,Normal
REV00015,USR6200,PROD728,面料有点破了一个洞，建议大家购买。,4,2023-12-31 18:17:00,Normal
REV00016,USR7092,PROD148,面料十分不透气。,4,2023-08-18 13:18:00,Normal
REV00017,USR4216,PROD776,隔天就到了，版型倒是挺不错的，客服处理态度不错，总体来说推荐。 ,3,2023-08-04 08:07:00,Multi-dimensional
REV00018,USR9328,PROD153,版型稍微破了一个洞，性价比很高。,4,2023-01-05 00:25:00,Normal
REV00019,USR4730,PROD517,好好好好好好好好好好好好,3,2023-08-31 09:59:00,Noise
REV00020,USR5689,PROD993,版型十分破了一个洞。,5,2023-01-29 03:36:00,Normal
REV00021,USR9203,PROD203,版型稍微有点硬，还能凑合穿。,3,2023-01-14 22:31:00,Normal
REV00022,USR4395,PROD330,不知道说什么，就随便打点字  ,4,2023-08-03 23:16:00,Noise
REV00023,USR3362,PROD908,nPhu1ZJuWzgyYbEBzjUPJEUrgjnZlh~~,5,2023-12-13 16:31:00,Noise
REV00024,USR1845,PROD395,裙子稍微破了一个洞，性价比很高。,4,2023-05-31 03:02:00,Normal
REV00025,USR6387,PROD255,外套有点不错...,3,2023-10-06 17:29:00,Normal
REV00026,USR8742,PROD699,不知道说什么，就随便打点字~ ,5,2023-03-22 05:29:00,Noise
REV00027,USR9529,PROD198,做工太气味很大！,2,2023-11-30 04:55:00,Normal
REV00028,USR9466,PROD504,衣服真的是不错，还能凑合穿。,1,2023-06-19 15:41:00,Normal
REV00029,USR4247,PROD612,发货有点慢，但是衣服质量很好，问尺寸也推荐得很准，总体来说推荐。,5,2023-01-26 15:56:00,Multi-dimensional
REV00030,USR4669,PROD520,这是我买过最好的商品，等了一个月终于发货了。微笑,5,2023-07-04 21:07:00,Sarcasm
REV00031,USR8262,PROD717,内衬超级有线头！,5,2023-03-24 02:24:00,Normal
REV00032,USR7481,PROD972,刷积分. ,4,2023-03-31 04:28:00,Noise
REV00033,USR9366,PROD381,太棒了，包装破得像从垃圾堆捡回来的！微笑,1,2023-02-24 18:49:00,Sarcasm
REV00034,USR1902,PROD515,裤子超级破了一个洞，买亏了。,4,2023-06-11 07:40:00,Normal
REV00035,USR8874,PROD958,款式挺有点硬，还能凑合穿。,2,2023-07-21 13:25:00,Normal
REV00036,USR6972,PROD774,上脚效果有点显胖。,3,2023-05-20 19:18:00,Normal
REV00037,USR9934,PROD179,隔天就到了，不过掉色严重，问尺寸也推荐得很准，总体来说推荐。,5,2023-01-06 04:29:00,Multi-dimensional
REV00038,USR4784,PROD252,外套有点有点硬，买亏了。,3,2023-03-08 06:46:00,Normal
REV00039,USR3432,PROD173,做工非常破了一个洞。,2,2023-12-20 14:41:00,Normal
REV00040,USR6749,PROD462,内衬挺做工精细...,5,2023-04-20 15:56:00,Normal
REV00041,USR6927,PROD305,包包十分掉色...,1,2023-10-06 05:10:00,Normal
REV00042,USR8099,PROD684,内衬极其显胖，建议大家购买。,5,2023-03-14 06:50:00,Normal
REV00043,USR1380,PROD448,版型掉色！,3,2023-08-08 22:07:00,Normal
REV00044,USR6024,PROD718,不知道说什么，就随便打点字就随便打点字就随便打点字 ,3,2023-06-02 23:02:00,Noise
REV00045,USR9495,PROD952,版型十分有点硬，还能凑合穿。,1,2023-11-28 21:31:00,Normal
REV00046,USR8078,PROD529,外套偏小，还能凑合穿。,2,2023-09-08 06:02:00,Normal
REV00047,USR8656,PROD189,快递态度差，结果发现有破洞，退换货很麻烦，不会再来了。   ,4,2023-04-05 07:00:00,Multi-dimensional
REV00048,USR5843,PROD630,裤子挺偏大。,4,2023-09-13 19:34:00,Normal
REV00049,USR9812,PROD604,默认好评！~,3,2023-09-08 17:51:00,Noise
REV00050,USR9971,PROD276,上脚效果非常不透气，建议大家购买。,4,2023-02-11 21:52:00,Normal
REV00051,USR4534,PROD741,习惯性五星⭐️⭐️⭐️⭐️ ~ ,5,2023-08-14 03:18:00,Noise
REV00052,USR6924,PROD640,绝对的“正品”，客服连句话都不会回。~。,1,2023-01-30 10:23:00,Sarcasm
REV00053,USR2978,PROD902,刷积分刷积分刷积分刷积分.~ ,4,2023-10-25 08:54:00,Noise
REV00054,USR7939,PROD675,做工稍微有线头，不推荐。,4,2023-07-28 02:02:00,Normal
REV00055,USR6885,PROD446,上脚效果非常很舒服，性价比很高。,3,2023-09-24 09:04:00,Normal
REV00056,USR7354,PROD708,做工太不透气...,3,2023-05-08 21:05:00,Normal
REV00057,USR5032,PROD692,习惯性五星⭐️⭐️⭐️⭐️⭐️  ,4,2023-05-03 19:16:00,Noise
REV00058,USR1587,PROD791,裤子偏小，买亏了。,5,2023-04-21 14:32:00,Normal
