review_id,review_content,expected_sentiment,expected_category,expected_urgency
G001,鞋子穿了一周就开胶了质量太差,NEGATIVE,PRODUCT_QUALITY,2
G002,快递很快包装完好鞋子也很满意,POSITIVE,LOGISTICS,1
G003,质量还行但价格太贵了性价比不高,MIXED,PRICE_VALUE,1
G004,客服态度很好帮我解决了问题,POSITIVE,CUSTOMER_SERVICE,1
G005,鞋子有刺鼻气味闻着头晕,NEGATIVE,PRODUCT_QUALITY,3
G006,发货太慢了等了十天才收到,NEGATIVE,LOGISTICS,2
G007,颜色很正跟图片一样很喜欢,POSITIVE,PRODUCT_QUALITY,1
G008,真是买了个祖宗回来穿两次就坏了,NEGATIVE,PRODUCT_QUALITY,2
G009,好,NEUTRAL,IRRELEVANT,1
G010,尺码偏小建议买大一码,MIXED,PRODUCT_QUALITY,2
G011,价格降太快买完就降价了坑人,NEGATIVE,PRICE_VALUE,2
G012,客服一直不回消息态度恶劣,NEGATIVE,CUSTOMER_SERVICE,2
G013,默认好评,NEUTRAL,IRRELEVANT,1
G014,物流暴力运输鞋盒都压扁了,NEGATIVE,LOGISTICS,2
G015,款式好看穿着舒服推荐购买,POSITIVE,PRODUCT_QUALITY,1
G016,掉色严重把袜子都染红了,NEGATIVE,PRODUCT_QUALITY,2
G017,性价比高这个价格买到赚了,POSITIVE,PRICE_VALUE,1
G018,退换货流程太麻烦了客服推脱,NEGATIVE,CUSTOMER_SERVICE,2
G019,鞋底太硬走路脚疼不舒适,NEGATIVE,PRODUCT_QUALITY,2
G020,包装用心每双鞋子独立包装好评,POSITIVE,LOGISTICS,1
